ID,PestNr,Step_Size_OnTrial,Pest_Faster,Pest_Interval,Condition,trial,velH,velH_Pest,Reaction_Time,Start_Above,Environment,Fixation,RightOrLeft,NumberOfTries,Mean_Speed_Ball,Median_Speed_Cloud
s02,1,1.2,1,first,5,1,-6,-7.98,2.479996,1,No_Environment,Pursuit,0,1,NaN,NaN
s02,1,1.2,-1,first,4,2,6,3.96,1.079997,0,No_Environment,Pursuit,1,1,NaN,NaN
s02,1,1.2,1,first,1,3,-2,-2.66,0.8799973,1,No_Environment,Pursuit,0,1,NaN,NaN
s02,2,1.2,-1,first,1,4,2,1.46,1.019997,1,No_Environment,Pursuit,1,1,NaN,NaN
s02,1,1.2,-1,first,2,5,4,2.64,0.8199973,0,No_Environment,Pursuit,1,1,NaN,NaN
s02,1,1.2,1,first,3,6,-4,-5.32,0.9399972,1,No_Environment,Pursuit,0,1,NaN,NaN
s02,2,1.2,1,first,3,7,4,4.12,1.259997,1,No_Environment,Pursuit,1,1,NaN,NaN
s02,2,1.2,-1,first,5,8,-6,-6.780001,0.8399973,1,No_Environment,Pursuit,0,1,NaN,NaN
s02,1,1.2,1,first,0,9,-2,-1.32,0.9599972,0,No_Environment,Pursuit,0,1,NaN,NaN
s02,3,1.2,-1,first,1,10,-2,-2.66,0.6599975,1,No_Environment,Pursuit,0,1,NaN,NaN
s02,3,1.2,1,first,3,11,4,2.92,1.319997,1,No_Environment,Pursuit,1,1,NaN,NaN
s02,2,1.2,1,first,4,12,-6,-5.16,1.119997,0,No_Environment,Pursuit,0,1,NaN,NaN
s02,2,1.2,1,first,2,13,4,3.84,1.059997,0,No_Environment,Pursuit,1,1,NaN,NaN
s02,3,1.2,1,first,2,14,-4,-2.64,1.119997,0,No_Environment,Pursuit,0,1,NaN,NaN
s02,4,1.2,1,first,1,15,2,3.86,0.6199975,1,No_Environment,Pursuit,1,1,NaN,NaN
s02,3,1.2,-1,first,4,16,6,3.96,0.6199975,0,No_Environment,Pursuit,1,1,NaN,NaN
